Year,Month,Mean maximum temperature,Mean minimum temperature,Highest temperature,Lowest temperature
1950,1,23.7,11,38.4,5.7
1950,2,23,14.2,36.7,9.9
1950,3,21.9,12.3,31.1,7.4
1950,4,19.3,9.6,23.9,2.9
1950,5,15.8,6.9,22.9,0.5
1950,6,12.2,4.2,16.9,-1.7
1950,7,13.9,4.3,18.7,-1.3
1950,8,15,4.6,18.4,-0.8
1950,9,18.1,6.4,23.2,2.4
1950,10,18.9,8.7,24.8,4.9
1950,11,21.6,9.8,31.8,0.8
1950,12,25.7,12.8,37.7,7.2
1951,1,27.3,14.5,36.3,10.2
1951,2,25.4,14.9,35.8,9.4
1951,3,25,13.3,33.9,7.2
1951,4,17.9,8.7,27.3,6.3
1951,5,17.7,7.7,20.7,4.4
1951,6,13.9,6.6,17.2,1.7
1951,7,13.5,5.4,17.6,-0.3
1951,8,12.7,4.6,17.1,0.7
1951,9,16.7,7.2,25.8,2
1951,10,18.7,7.6,26.1,4.1
1951,11,21.1,8.6,31.1,5.2
1951,12,23.1,11.1,35.2,7.2
1952,1,24.8,12.3,37.2,7.7
1952,2,22.8,12.7,36.6,8.2
1952,3,23.6,13.2,33.9,8.3
1952,4,18.3,10.8,28.1,3.9
1952,5,15.3,7.4,22.2,2.8
1952,6,13.4,7.6,18.1,2.8
1952,7,12.2,4.5,16.9,-0.4
1952,8,13.7,5.8,17.9,0.3
1952,9,16.8,7.5,24.3,3.2
1952,10,18.5,9,35.7,3.6
1952,11,19.7,9.8,28.9,5.9
1952,12,22.2,11.9,35.7,8.1
1953,1,23.9,13.5,33.7,9
1953,2,24.4,13.9,36.2,9.4
1953,3,24.6,12.3,38.3,3.4
1953,4,20.7,11,30.5,1.7
1953,5,17,9,25.6,2.9
1953,6,13.3,6.5,16.8,1.1
1953,7,13.6,5.1,17.4,-0.8
1953,8,14.1,6,18.3,1.6
1953,9,16.3,6.1,22.6,1.5
1953,10,18.6,7.7,28.1,2.8
1953,11,20.2,9.2,31.2,4.7
1953,12,23.8,10.9,39.8,6.6
1954,1,26.5,15.3,37.9,11.1
1954,2,21.9,13.6,34.5,7.6
1954,3,23.2,10.6,33.4,5.6
1954,4,20.3,10.4,32.9,6.6
1954,5,16.3,7.4,20.1,1.3
1954,6,13.9,6.7,20.2,0.1
1954,7,12.7,4.6,18.3,-2
1954,8,14.9,5.5,20.6,0.1
1954,9,16.4,6,24.7,-0.8
1954,10,18.7,8.2,28.8,3.3
1954,11,19.9,9.7,36.8,5.4
